Known Mahler Measures Less than 1.25

All known (multiplicative) Mahler measures M greater than 1 and less than
1.25 for primitive irreducible polynomials. Here d is the degree, v is the
number of roots outside the unit circle, and only the first d/2 + 1
coefficients are shown since these polynomials are reciprocal.

Michael Mossinghoff
m.mossinghoff@ccr-princeton.org
May 31, 2026

==========

Rank   d  M                v  Coefficients
186  118  1.248967950284   9  1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 -1
187   34  1.249030943524   3  1 1 0 -1 -1 0 1 0 -1 0 1 0 -1 -1 0 1 0 -1
188  122  1.249031297239   8  1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
189   88  1.249031621088   8  1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1
190   52  1.249043167061   6  1 1 0 0 0 0 0 -1 -1 0 0 0 1 1 1 1 0 -1 -1 -1 -1 -1 -1 0 1 1 1
191   86  1.249087060615   9  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
192   96  1.249090484371  10  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
193  106  1.249096248733   9  1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1
194   68  1.249099543915   7  1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
195   90  1.249136949840   9  1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
196  108  1.249199962030   7  1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1
197   40  1.249209965697   4  1 0 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 0 -1 0 -1
198  104  1.249243429424   8  1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 -1
199  106  1.249264959284  11  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
200   80  1.249269421007   7  1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
201  110  1.249288091898   9  1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1
202   90  1.249296331951   9  1 1 0 0 0 0 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1 -1 -1 -1 0 1 1 1 1
203  136  1.249298451244  10  1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 -1
204   54  1.249319539914   5  1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 1
205  114  1.249322264468  11  1 0 1 0 0 0 -1 0 -1 0 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1
206   58  1.249326739190   5  1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 -1
207  118  1.249340932335  12  1 0 1 0 0 0 -1 0 -1 0 0 0 1 0 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1
208   28  1.249352148260   3  1 1 1 0 -1 -2 -2 -2 -1 0 1 1 1 1 1
209  130  1.249411774638   9  1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1
210   68  1.249420892975   8  1 1 1 0 0 -1 -1 -1 0 0 0 0 0 0 0 1 1 0 -1 -1 -1 0 1 2 1 0 -1 -1 -1 0 1 1 0 -1 -1
211   94  1.249426432422  11  1 1 1 1 0 0 -1 -2 -2 -2 -1 0 1 2 3 3 2 1 -1 -2 -3 -4 -3 -3 -1 1 2 4 4 3 2 0 -2 -3 -4 -4 -2 -1 1 3 3 4 3 1 0 -2 -3 -3
212   66  1.249444887665   7  1 1 1 0 0 -1 -1 -1 0 1 1 1 0 0 -1 0 0 1 0 0 -1 -1 -1 0 1 1 1 0 -1 -2 -1 0 1 1
213   78  1.249456833686   8  1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
214  118  1.249468707304  11  1 1 0 0 0 0 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1 -1 -1 -1 0 1 1 1 1
215   26  1.249499333193   3  1 1 0 0 0 0 0 0 0 0 0 0 -1 -1
216   70  1.249502463359   9  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
217  108  1.249523438160  12  1 1 1 0 0 -1 -1 -1 0 0 0 0 0 0 0 1 1 1 0 0 -1 0 0 1 0 0 -1 -1 -1 0 1 1 1 0 0 -1 0 -1 0 -1 0 -1 0 0 1 1 1 1 0 0 -1 0 -1 0 -1
218   88  1.249560707010   7  1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
219  120  1.249609817678   8  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1
220   70  1.249654026462   7  1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 -1
221  102  1.249660707891  10  1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
222  124  1.249683442455  10  1 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 -1 -1 0 1
223   32  1.249688298465   4  1 2 2 1 0 -1 -1 -1 0 1 2 2 2 1 0 -1 -1
224   86  1.249747503884  10  1 1 1 0 0 -1 -1 -1 0 0 0 0 0 0 0 1 1 1 0 0 -1 -1 -1 -1 0 0 1 0 1 0 1 0 1 0 0 -1 -1 -1 -1 0 0 1 0 1
225  122  1.249811269316  13  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
226   48  1.249834231934   5  1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1
227  114  1.249835103039  12  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
228   54  1.249896621001   7  1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1
229   88  1.249907941275   9  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
230  114  1.249919034912  12  1 0 1 0 0 0 -1 0 -1 0 0 0 1 0 1 0 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1
231  136  1.249924601171  12  1 1 0 0 0 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1 -1 -1 -1 0 1 1 1
232   88  1.249927021401  10  1 1 0 0 0 0 0 -1 -1 0 0 0 0 0 1 1 0 0 0 0 0 -1 0 1 0 -1 -1 0 1 0 -1 0 1 1 0 -1 0 1 0 -1 -1 0 1 0 -1
233  136  1.249934333237   9  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1
234  132  1.249944664586  12  1 1 0 0 0 0 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 1 1 1 1 0 -1 -1 -1 -1
235  116  1.249970523504  10  1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1
236   82  1.249986355264   9  1 0 1 0 0 0 -1 0 -1 0 0 0 1 0 1 0 0 1 -1 1 -1 0 0 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1
